@relation colorferet_asian_black

@attribute At001 numeric
@attribute At002 numeric
@attribute At003 numeric
@attribute At004 numeric
@attribute At005 numeric
@attribute At006 numeric
@attribute At007 numeric
@attribute At008 numeric
@attribute At009 numeric
@attribute At010 numeric
@attribute At011 numeric
@attribute At012 numeric
@attribute At013 numeric
@attribute At014 numeric
@attribute At015 numeric
@attribute At016 numeric
@attribute At017 numeric
@attribute At018 numeric
@attribute At019 numeric
@attribute At020 numeric
@attribute At021 numeric
@attribute At022 numeric
@attribute At023 numeric
@attribute At024 numeric
@attribute At025 numeric
@attribute At026 numeric
@attribute At027 numeric
@attribute At028 numeric
@attribute At029 numeric
@attribute At030 numeric
@attribute At031 numeric
@attribute At032 numeric
@attribute At033 numeric
@attribute At034 numeric
@attribute At035 numeric
@attribute At036 numeric
@attribute At037 numeric
@attribute At038 numeric
@attribute At039 numeric
@attribute At040 numeric
@attribute At041 numeric
@attribute At042 numeric
@attribute At043 numeric
@attribute At044 numeric
@attribute At045 numeric
@attribute At046 numeric
@attribute At047 numeric
@attribute At048 numeric
@attribute At049 numeric
@attribute At050 numeric
@attribute At051 numeric
@attribute At052 numeric
@attribute At053 numeric
@attribute At054 numeric
@attribute At055 numeric
@attribute At056 numeric
@attribute At057 numeric
@attribute At058 numeric
@attribute At059 numeric
@attribute At060 numeric
@attribute At061 numeric
@attribute At062 numeric
@attribute At063 numeric
@attribute At064 numeric
@attribute At065 numeric
@attribute At066 numeric
@attribute At067 numeric
@attribute At068 numeric
@attribute At069 numeric
@attribute At070 numeric
@attribute At071 numeric
@attribute At072 numeric
@attribute At073 numeric
@attribute At074 numeric
@attribute At075 numeric
@attribute At076 numeric
@attribute At077 numeric
@attribute At078 numeric
@attribute At079 numeric
@attribute At080 numeric
@attribute At081 numeric
@attribute At082 numeric
@attribute At083 numeric
@attribute At084 numeric
@attribute At085 numeric
@attribute At086 numeric
@attribute At087 numeric
@attribute At088 numeric
@attribute At089 numeric
@attribute At090 numeric
@attribute At091 numeric
@attribute At092 numeric
@attribute At093 numeric
@attribute At094 numeric
@attribute At095 numeric
@attribute At096 numeric
@attribute At097 numeric
@attribute At098 numeric
@attribute At099 numeric
@attribute At100 numeric
@attribute At101 numeric
@attribute At102 numeric
@attribute At103 numeric
@attribute At104 numeric
@attribute At105 numeric
@attribute At106 numeric
@attribute At107 numeric
@attribute At108 numeric
@attribute At109 numeric
@attribute At110 numeric
@attribute At111 numeric
@attribute At112 numeric
@attribute At113 numeric
@attribute At114 numeric
@attribute At115 numeric
@attribute At116 numeric
@attribute At117 numeric
@attribute At118 numeric
@attribute At119 numeric
@attribute At120 numeric
@attribute At121 numeric
@attribute At122 numeric
@attribute At123 numeric
@attribute At124 numeric
@attribute At125 numeric
@attribute At126 numeric
@attribute At127 numeric
@attribute At128 numeric
@attribute gender {M, F}
@attribute age {10, 20, 30, 40, 50, 60, 70}
@attribute race {Asian, Black-or-African-American}

@data
-0.161697358,0.086880088,0.151718199,0.049607635,-0.013589554,-0.053504895,0.02707855,-0.087674461,0.120658636,-0.113443889,0.200072795,-0.075085416,-0.228568017,-0.079620913,0.021985091,0.087637991,-0.097320303,-0.114043355,-0.102661751,-0.067610055,0.06294325,0.003173392,0.009102426,-0.026969105,-0.100435838,-0.344382286,-0.057938121,-0.122425057,0.002872638,-0.057402935,-0.010100966,0.030371703,-0.217875689,-0.008366942,-0.134378627,0.049322683,0.018876608,0.004320044,0.138027042,-0.000124186,-0.180271596,-0.126929194,-0.014543578,0.193291247,0.182485044,0.003058266,-0.008457367,-0.013208102,-0.041287288,-0.267623514,0.015558537,0.111748077,0.069798917,0.078712493,0.029989928,-0.100431703,0.009732563,-0.057189062,-0.144794405,0.052884698,0.07801754,-0.166585982,-0.10162434,0.015780639,0.272044718,0.085959136,-0.078427397,-0.080297135,0.119842418,-0.179492116,-0.030321332,0.091478802,-0.064912625,-0.135362059,-0.334207714,0.098942772,0.443494022,0.113270074,-0.169899762,0.019728646,-0.189021692,-0.024627022,0.095532402,0.070714101,-0.05901346,0.064397521,-0.139749527,0.08478041,0.134708136,-0.051044352,-0.051894527,0.192088038,-0.026827693,0.01618596,0.013020789,0.033466354,-0.012161234,-0.043014064,-0.062513225,-0.040856525,0.162167996,-0.076497018,-0.008193314,0.082542524,-0.145021066,0.087119639,-0.006834581,-0.046291612,0.076841325,-0.024047077,-0.102352008,-0.076475762,0.141973332,-0.202111036,0.107099324,0.156345904,-0.041575029,0.141993061,0.056324624,0.139512718,-0.060813442,-0.010727331,-0.125379324,-0.029808015,0.05087531,0.05462319,0.042250939,0.043490432,M,30,Asian
-0.042688757,0.095366389,0.114902392,0.010116715,-0.068121679,-0.030236524,-0.119207129,-0.103114992,0.066633746,-0.136253625,0.249803811,-0.065045945,-0.20788832,-0.007230628,-0.034094807,0.110899463,-0.104634836,-0.124363177,-0.069960475,-0.045483992,0.083276823,0.038549341,0.035421774,-0.007220574,-0.081059195,-0.325150698,-0.127935842,-0.062111057,0.007524736,-0.085982077,-0.081962556,-0.049939059,-0.193446636,-0.035485338,0.023973163,0.057477355,-0.037242435,-0.062860221,0.209664434,-0.02630914,-0.212207884,0.027241787,0.091074064,0.204856604,0.191699192,0.067556791,-0.003837689,-0.164333478,0.046473201,-0.16105485,0.10029535,0.20570302,0.058059599,0.137835681,-0.025202744,-0.182238087,0.054338153,0.098752297,-0.086709686,0.037512932,0.096957937,-0.068871237,-0.019313619,0.003977701,0.223425254,0.051888473,-0.107091784,-0.23080036,0.043520473,-0.159136578,-0.086839005,0.106671736,-0.16584897,-0.200605839,-0.285397351,0.044785775,0.422602087,0.084901452,-0.200301528,0.088200003,-0.102231033,-0.055107821,0.12379805,0.117846146,-0.028392524,0.04570166,-0.125756249,0.053580955,0.23529157,-0.074938215,-0.045300074,0.194307283,-0.02434016,0.088352539,0.07122995,0.110816106,-0.091906391,0.025086701,-0.158912778,-0.055176206,0.076586552,-0.050052691,-0.056866437,0.095004737,-0.212381631,0.164107502,-0.005243851,-0.011550404,0.012939457,-0.045363221,-0.109574705,-0.035324857,0.183324799,-0.241476387,0.200016752,0.191673115,0.099957883,0.156158268,0.19099766,0.105579764,0.003244897,-0.034021538,-0.238235891,-0.016760971,0.038000412,0.038902957,0.094295003,0.034769267,M,30,Asian
-0.164595291,-0.010783688,0.04832761,0.040121421,-0.041127238,-0.133594394,-0.000927022,-0.079140827,0.127721146,-0.109588653,0.131896093,-0.080610007,-0.175076157,-0.125084773,-0.066799983,0.085023902,-0.106435075,-0.132844537,-0.068658389,-0.131189108,0.063359156,-0.010687172,-0.000396542,0.019076057,-0.165954262,-0.306517601,-0.093057051,-0.13322106,0.017052134,-0.09489204,-0.032309569,0.043967761,-0.189787224,-0.08627367,-0.006467395,0.140715092,0.089336745,0.078560814,0.172142714,-0.102761768,-0.158605486,0.013837537,0.113926686,0.259659499,0.108317517,0.085545205,-0.026231602,0.01577175,0.117099106,-0.220687166,0.047704421,0.105161339,0.1346481,-0.006485745,0.144906431,-0.115992635,-0.013768617,0.129776537,-0.17512241,0.111647815,0.019287698,-0.076050937,-0.081504487,-0.01681404,0.184692696,0.079936147,-0.106383972,-0.063012645,0.206359744,-0.213090017,0.022873361,0.068793729,-0.034202244,-0.128431439,-0.321022898,0.001390885,0.460597754,0.121268101,-0.169448823,0.058602411,-0.060319677,-0.016885197,0.080687195,0.012004007,-0.092160583,0.076445915,-0.147091582,0.065971658,0.133345127,0.065992005,-0.004364131,0.077986173,0.015269347,0.048972845,0.00806423,0.034822352,-0.135941252,-0.091639534,-0.116695382,0.009058148,0.0773976,-0.08672303,-0.022551846,0.094608039,-0.139042169,0.12078274,-0.020750649,-0.060844578,-0.085868694,0.107508257,-0.023474857,0.034201771,0.092812128,-0.252297103,0.15235357,0.158259213,-0.093558967,0.155731127,-0.02308959,0.029023364,-0.033438258,-0.008929573,-0.165954411,-0.166939929,-0.033250079,-0.094863459,0.117923535,0.054256175,M,20,Asian
0.048885398,0.066160232,0.021299671,-0.044701323,-0.066716254,-0.044732068,0.020810546,-0.104864381,0.171154916,-0.078935876,0.260353386,-0.028893173,-0.279083073,-0.017428689,-0.049474977,0.221702337,-0.127177685,-0.103139468,-0.115373492,0.007357981,0.084257051,0.086051047,0.05122659,0.069130048,-0.083076477,-0.260843337,-0.118925355,-0.105043516,-0.002155316,-0.055686168,-0.066367,0.020306097,-0.103812397,-0.050774317,0.120217234,-0.060525931,-0.051276539,-0.140623599,0.204807311,-0.006942168,-0.2387411,0.049542435,0.069545537,0.225932583,0.242670894,0.01956402,-0.006390852,-0.198997259,0.075119115,-0.217058986,-0.004914312,0.104433052,0.048547685,0.079636626,0.049262214,-0.130476564,0.037577037,0.166195795,-0.224183887,-0.02428904,0.042855766,-0.075747721,-0.015225587,-0.065331146,0.166749269,0.033285357,-0.174566746,-0.142024979,0.112496518,-0.209842026,-0.0781703,0.057361905,-0.157357633,-0.224912986,-0.295272112,-0.036296938,0.388518214,0.194791406,-0.251749098,0.040511265,-0.032254633,0.071843296,0.152299359,0.106345773,0.01227504,-0.073085569,-0.141261458,-0.045148931,0.176642805,-0.126689672,-0.022383204,0.280208528,-0.016256198,0.015289867,0.027687095,0.107193612,-0.106174923,-0.002179468,-0.161644846,-0.043953311,0.009737515,0.035436034,0.020790039,0.162243843,-0.129185304,0.102472626,-0.024503499,-0.019896068,0.020469651,-0.019595694,-0.050656751,-0.08821585,0.096705027,-0.210717067,0.146334067,0.15207985,0.003201896,0.086926073,0.040438652,0.084554732,-0.064172104,-0.064941861,-0.222144753,-0.048548251,0.095577806,0.027745049,0.099705234,-0.051706407,F,30,Asian
-0.101499483,0.112833425,-0.017290637,-0.004841246,-0.040899131,-0.03062354,0.048634313,-0.098687559,0.24129577,-0.128495619,0.186024487,0.017471991,-0.274434119,-0.032305785,-0.094044417,0.02535437,-0.203481555,-0.137624368,-0.136590451,-0.05166138,0.127510101,0.003177216,0.062449198,-0.015912499,-0.155807659,-0.356776297,-0.130470634,-0.122417375,0.110156037,-0.018772978,0.013166931,-0.028726682,-0.242136836,-0.083445616,-0.032262981,0.012346234,-0.012576353,0.038360633,0.150612816,-0.048586518,-0.143122762,0.010489853,0.086185023,0.224109754,0.179067165,0.128952518,0.008583002,-0.121201076,-0.009273103,-0.19479543,0.072123222,0.183289677,0.146809593,0.094414733,0.110542633,-0.172772914,0.006340105,0.101752259,-0.159089103,0.102819838,0.066413902,0.02742251,-0.019481931,0.017230986,0.204359889,0.019505292,-0.131936714,-0.072770581,0.196890697,-0.267231911,0.019978506,0.045589343,-0.060864151,-0.198834911,-0.235938549,-0.005227011,0.486841887,0.204367161,-0.087288402,0.052168317,-0.160631254,-0.054810796,0.035512015,0.003339741,-0.179061741,0.01876989,-0.130212113,0.082086198,0.163719445,0.03695621,-0.012479577,0.21881099,0.019214749,-0.01081355,0.032961227,0.009223238,-0.152980566,-0.043676294,-0.131913021,-0.016677458,-0.024239654,-0.132141754,-0.041802794,0.076976046,-0.129396111,0.102888077,-0.002343323,-0.05341012,-0.02830597,0.061174564,-0.112959631,-0.060460348,0.144693509,-0.24796167,0.194393426,0.186776817,0.013136072,0.172003746,0.066059656,0.092019804,-0.003074696,-0.002587631,-0.181745097,-0.100227833,-0.021510715,-0.096934825,0.113468632,0.019410361,M,30,Asian
-0.071683288,0.05046951,-0.011418931,-0.020665318,-0.061332773,-0.085276715,-0.078849301,-0.133585885,0.044477753,-0.036731541,0.243955001,-0.068410665,-0.174037457,-0.157432988,-0.036604211,0.132308513,-0.183267176,-0.116614901,-0.081177041,0.007949049,0.029858161,-0.004637096,-0.010132179,-0.011336908,-0.077127665,-0.368547738,-0.084249206,-0.056973286,0.084807225,0.057851255,-0.037478633,0.018047124,-0.20933491,-0.117961198,0.102497265,0.094213553,4.99E-05,-0.058057003,0.13314639,-0.03550034,-0.199108496,0.033108741,0.059340857,0.247169882,0.225432932,0.068744346,0.036528308,-0.112269297,0.104589015,-0.158829957,0.003476097,0.166445509,0.144799024,0.052265566,-0.012394349,-0.095840529,0.058662351,0.147924647,-0.185769215,-0.034898616,0.091028713,-0.032515462,0.005251234,-0.09606152,0.234515473,0.025910228,-0.16588214,-0.138387397,0.132622287,-0.155055478,-0.037530459,-0.024050962,-0.125621974,-0.18769823,-0.334072918,0.030480981,0.344569355,0.148745283,-0.205350354,0.055441797,-0.063407049,0.026101412,0.113231644,0.102342218,-0.013688967,0.007503591,-0.097360969,-0.055259176,0.206579581,-0.049815036,0.001394346,0.182694942,-0.039711446,0.035743408,0.033058338,0.04252737,-0.098114848,0.03803771,-0.087362818,0.028810125,0.043185096,-0.055162665,0.064769983,0.135509789,-0.114774883,0.150323972,-0.029702174,0.086561456,0.066213273,-0.054420657,-0.009907108,-0.089957699,0.105532296,-0.200846404,0.226733506,0.17054297,0.059877221,0.137975752,0.123613521,0.068457559,-0.034419365,0.009866357,-0.216481686,-0.086127348,0.00027883,-0.064212471,0.087981746,0.008577761,M,30,Asian
-0.130184382,0.146773711,0.042101953,-0.061528366,0.052081984,-0.07348489,0.041403271,-0.057440549,0.260494173,-0.070515029,0.222136244,0.030823527,-0.169803515,-0.152148277,0.02636949,0.084345713,-0.234307051,-0.113707229,-0.047828794,-0.107640192,0.100754514,0.020058656,0.0347801,-0.038344599,-0.164887235,-0.330861419,-0.077232122,-0.141649246,0.054498777,-0.104476273,0.059264787,0.015606962,-0.186846405,-0.024493821,-0.082331851,0.065724909,-0.029009387,-0.003916748,0.151199341,0.019844383,-0.121773198,-0.033530004,0.007351451,0.222573727,0.254728377,0.008145204,-0.014617752,-0.015967004,0.019015621,-0.22043258,0.029800462,0.133072942,0.018115297,0.10509114,0.087142721,-0.131717697,-0.060347836,-0.023984173,-0.168548316,0.018539229,0.039280631,-0.059270792,-0.100787997,0.020553127,0.162974834,0.092335545,-0.100271195,-0.113225482,0.188042283,-0.186024114,-0.043688659,0.050326046,-0.089505672,-0.167534828,-0.231989443,0.10271655,0.382617444,0.136701614,-0.074694499,0.05769315,-0.127138287,-0.04261712,0.027598912,0.019489542,-0.087149076,0.057690568,-0.085771754,0.089377172,0.105282649,0.015604173,-0.086044706,0.198454201,-0.055940941,0.07280463,0.016057635,-0.011732832,-0.018986683,0.042067066,-0.131570756,-0.036316596,0.107937545,-0.124582954,-0.011269454,0.106683522,-0.098553762,0.123685792,0.064870693,-0.004419601,-0.009535287,0.105094217,-0.125661999,-0.038678013,0.137822106,-0.200611919,0.248619601,0.207954019,0.015085757,0.15590097,0.079840161,0.094147921,0.006825373,-0.007339712,-0.125048041,-0.025744334,-0.054792818,0.067584231,0.051857665,0.063505463,M,50,Asian
-0.084449328,0.03055751,0.042484064,-0.007913444,-0.092840284,-0.09686853,-0.015493261,-0.119479939,0.141293421,-0.080463253,0.22058934,-0.072731324,-0.197629541,-0.076821044,-0.099062242,0.127437383,-0.061284687,-0.091480203,-0.137820706,-0.147969335,0.001286581,-0.000344418,0.053517397,0.030822515,-0.034247771,-0.35128516,-0.058811929,-0.082400277,0.029741896,-0.070557624,0.017376043,0.034284629,-0.21147728,-0.08608257,0.007100206,0.070385978,0.014781334,0.046309315,0.142822772,-0.005339436,-0.130055144,0.023104584,0.046054449,0.235119328,0.189927757,0.123739675,0.010082309,-0.034529291,0.047913387,-0.250965506,0.042978399,0.089535832,0.1426166,-0.055911388,0.081276521,-0.066413127,-0.029896431,0.10512957,-0.231043845,0.075699158,0.094993532,-0.058733404,-0.129008114,-0.044330813,0.237139925,0.18090795,-0.104617119,-0.075317204,0.200630516,-0.248623312,-0.015451482,0.009243179,-0.039511368,-0.129728734,-0.293248564,0.01387466,0.487654537,0.169036776,-0.156766534,-0.007914454,-0.087194353,0.078772239,0.063396193,-0.056952123,-0.135087356,0.001649648,-0.10770952,-0.000885583,0.123613812,0.031450354,-0.085345097,0.148131981,-0.024446312,0.022615604,0.025471263,-0.005490147,-0.084198199,-0.076495446,-0.138412297,-0.045825347,-0.012770037,-0.064645603,0.054542214,0.033744074,-0.141968608,0.121707164,-0.082274906,-0.04135472,-0.013196114,0.116261587,-0.063508637,-0.029394291,0.13879934,-0.214446306,0.183344275,0.162975013,-0.005582305,0.145360827,0.042288199,0.072024092,-0.012583914,-0.000847299,-0.088860862,-0.1592848,-0.048397686,-0.074187964,0.149662688,0.050229382,M,20,Asian
-0.113757163,0.01701564,0.040857427,-0.045500308,-0.154444963,-0.048922099,-0.043451019,-0.152438223,0.123060919,-0.12221697,0.207479522,-0.110437602,-0.174211681,-0.078769773,-0.09196803,0.217647284,-0.172182009,-0.120517917,-0.071726508,0.010676747,0.065250576,-0.036868982,0.013465233,0.040896259,-0.074440524,-0.322901994,-0.090033218,-0.081538111,0.004888276,-0.052749954,-0.066582799,0.02326245,-0.169139653,-0.050311036,0.000492003,0.075703315,0.001786268,-0.127309024,0.153854564,-0.013169635,-0.246871099,-0.009226981,0.035146229,0.19621712,0.200874522,0.030349828,0.017992944,-0.140024021,0.176853761,-0.15942128,-0.028756909,0.074977838,0.072140962,0.018220851,-0.003267866,-0.103433818,0.037219394,0.145093694,-0.125032857,-0.02839957,0.096932508,-0.077892184,-0.050652504,-0.148430556,0.265110701,0.087468043,-0.142521709,-0.142016098,0.14443323,-0.11248754,-0.078327589,-0.011114873,-0.149374396,-0.143350765,-0.31989187,-0.016657747,0.401559979,0.081053868,-0.194518209,0.004425943,-0.067759797,0.057852559,0.105237752,0.172155544,-0.003701128,0.028660405,-0.091067925,-0.061685249,0.192921028,-0.09308999,0.011822827,0.197873563,-0.029672664,0.057006769,-0.015315372,0.010471649,-0.097128585,0.070848554,-0.066137701,0.015845962,0.067469567,-0.030456593,0.043776385,0.103000134,-0.133070901,0.100716963,-0.038138524,0.085029408,0.061409812,-0.058474645,-0.072831035,-0.054004733,0.110160626,-0.213131487,0.147735685,0.157769218,0.049596865,0.114287324,0.119996443,0.114309847,-0.040131696,0.043702222,-0.228778198,-0.006237235,0.10320165,-0.04460815,0.05924052,0.019894004,F,20,Asian
-0.052677039,0.055781275,0.039097328,-0.01045825,-0.158216491,-0.032738943,0.016888663,-0.129738599,0.131163478,-0.157497972,0.275672555,-0.07974869,-0.244650915,-0.004776582,0.033369325,0.148253709,-0.201807976,-0.099898912,-0.118090697,-0.039343357,0.032263421,0.014097979,0.017032079,0.038174182,-0.099376976,-0.38454321,-0.036475364,-0.15104492,0.096002072,-0.026848875,-0.055805646,0.048428047,-0.09959466,-0.017714955,0.032093957,0.046062976,-0.056176104,-0.104793459,0.269289345,-0.044908643,-0.27745527,-0.023540983,0.019385055,0.179395571,0.20728153,-0.021302728,0.002362239,-0.121060804,0.175359607,-0.265285492,-0.048674718,0.139911264,0.01080028,0.066772074,0.03949856,-0.146857202,0.018018194,0.106720902,-0.20476377,-0.077587977,0.050666831,-0.088991597,-0.018813683,-0.081789717,0.215881839,0.061268371,-0.132922783,-0.090590179,0.094117023,-0.204497591,-0.084813327,0.059266485,-0.152797759,-0.184117481,-0.314872265,-0.018156551,0.448382646,0.133577138,-0.1545524,-0.008017642,-0.044646043,-0.05624444,0.168670833,0.114517644,-0.014857091,-0.045241542,-0.09387283,0.018162351,0.200830534,-0.098618068,0.003147108,0.211696267,-0.01011702,0.116535045,0.015185943,0.077569999,-0.114512973,-0.033438284,-0.148761362,0.000397231,0.044957191,-0.008079799,0.008131428,0.116036922,-0.193879768,0.137180641,-0.023651551,-0.021897219,0.029241623,-0.08739385,-0.051218815,-0.01235975,0.152354881,-0.202259988,0.147842839,0.196137726,0.038341135,0.140556872,0.076863013,-0.053474914,-0.073067583,-0.03609566,-0.282833099,-0.043699745,0.085286215,-0.012843957,0.02331721,-0.057907745,F,40,Asian
